22-07-2024	13:39:07	1ce7e028-78f1-4cc1-a769-d76ceeb41427	/new-page.html	GET
22-07-2024	13:39:08	12b34e8a-40f7-4b68-8658-2ff726935007	/css/style.css	GET
22-07-2024	13:39:08	7c499671-e6bb-4837-86ed-dc5a4aa58ebe	/img/img1.jpg	GET
22-07-2024	13:39:08	6bc10f51-9a30-4091-b060-f6da56e58eaf	/favicon.ico	GET
22-07-2024	13:40:02	6099dae9-3ec4-4d0f-8cef-7065dc96a10f	/new-page.html	GET
22-07-2024	13:40:57	98d86e65-d635-4e38-89b7-3c0a9fdec951	/new-page.html	GET
22-07-2024	13:40:57	e8b1e48d-a380-418f-a9d1-51ff1c391a56	/css/style.css	GET
22-07-2024	13:40:57	aa457cc2-28ea-46c1-922d-0fa2d8d17a2e	/img/img1.jpg	GET
23-07-2024	11:51:38	f6e81fb2-1746-4184-8c35-a3ee786e01d2	GET	undefined	/
23-07-2024	11:51:38	67f33461-fb29-45b5-b0b2-03a39b0b7c06	GET	undefined	/css/style.css
23-07-2024	11:52:31	770ff5ab-97de-4ace-a368-3fca29216460	GET	undefined	/
23-07-2024	11:52:32	b7ba1399-bbc4-4d56-bae2-7918c42cf7b6	GET	undefined	/css/style.css
23-07-2024	11:55:57	78153c4b-51c4-4f50-9653-f783fa582fd7	GET	undefined	/
23-07-2024	11:55:57	ec3f368a-a1ce-4488-9156-62df9172836a	GET	undefined	/css/style.css
23-07-2024	11:59:10	a55a79f6-9f04-4bbe-adf3-5da55ecd3809	OPTIONS	https://www.google.com	/
23-07-2024	11:59:10	05444638-a77d-46d2-883e-ef396af29d34	GET	https://www.google.com	/
23-07-2024	12:08:56	a1f6e396-ccbf-4cf8-9416-e25219d26659	OPTIONS	https://www.google.com	/
23-07-2024	12:08:56	3feae29a-1102-4bb2-81be-ba50883370de	GET	https://www.google.com	/
23-07-2024	12:10:08	d1a58d0f-ddf9-4a99-b90b-693d74108733	OPTIONS	https://www.google.com	/
23-07-2024	12:10:08	726fa387-8601-49b3-a8bc-780d1c8f7ec7	GET	https://www.google.com	/
23-07-2024	12:14:20	d3fd9696-d6ff-44bf-aea4-1222a8c614a1	GET	undefined	/
23-07-2024	12:15:24	26ab7572-22c3-4afb-b936-c4d937c0a094	GET	undefined	/
23-07-2024	12:15:24	e35c29f7-2d4e-413c-b2e6-1d59179d62af	GET	undefined	/css/style.css
23-07-2024	12:21:25	49c505e0-5348-4ac7-82e2-80bdc0fc762d	GET	undefined	/
23-07-2024	12:23:21	6aa853ee-41b3-4ab3-ae22-c91b7531cbbf	GET	undefined	/
23-07-2024	12:31:58	ca63e109-e675-47d8-ba09-62be3f53f455	GET	undefined	/
23-07-2024	12:31:58	7f9c1fda-3c3d-4afe-a237-66f11dd54fd8	GET	undefined	/css/style.css
23-07-2024	12:32:11	704c7341-eaea-4120-8a81-939f467bcf33	GET	undefined	/dave
23-07-2024	12:32:11	dd2bb949-3e82-4dd8-bfa3-39abcdc0491a	GET	undefined	/css/style.css
23-07-2024	12:32:21	4fb97093-0860-4778-8a86-3541d5040650	GET	undefined	/dave
23-07-2024	12:33:43	bb897f37-89a0-45a7-9d4d-7fa1dea6d3cf	GET	undefined	/dave
23-07-2024	12:33:45	34cdb52e-cba7-4b04-998a-eeebb376d861	GET	undefined	/dave
23-07-2024	12:38:40	0a2a1781-a1c4-4443-81a0-cbc5d485fcef	GET	undefined	/dave
23-07-2024	12:38:43	65aea955-b5bc-4f5c-afc9-89812ff9988a	GET	undefined	/dave
23-07-2024	12:38:43	57275216-4378-49e7-a7c2-95c9abff4ffb	GET	undefined	/dave
23-07-2024	12:38:43	6c9e5589-76f1-4ee8-9130-681f01cf79d6	GET	undefined	/dave
